dataset,system,num_passages,num_claims,num_graph_nodes,num_graph_edges,num_selected,token_estimate,latency_ms
synthetic_graph,passage_rag,2.5,2.5,0.0,0.0,2.5,30.0,0.1994
synthetic_graph,reranked_passage_rag,2.5,2.5,0.0,0.0,2.5,30.0,0.0974
synthetic_graph,claim_only_rag,2.5,2.5,0.0,0.0,2.5,30.0,0.2209
synthetic_graph,graph_no_propagation,2.5,2.5,2.5,0.0,1.0,11.5,0.3449
synthetic_graph,graph_top_claim,2.5,2.5,2.5,0.0,2.5,32.0,0.3026
synthetic_graph,graph_coherent_subgraph,2.5,2.5,2.5,0.0,1.0,11.5,0.2994
synthetic_graph,graph_no_temporal,2.5,2.5,2.5,0.0,1.0,11.5,0.2483
synthetic_graph,graph_no_contradiction,2.5,2.5,2.5,0.0,1.0,11.5,0.2485
synthetic_graph,graph_with_propagation,2.5,2.5,2.5,0.0,1.0,11.5,0.255
synthetic_graph,full_egrag,2.5,2.5,2.5,0.0,1.0,11.5,0.2399
temporal_conflict,passage_rag,2.0,2.0,0.0,0.0,2.0,26.0,0.1055
temporal_conflict,reranked_passage_rag,2.0,2.0,0.0,0.0,2.0,26.0,0.0841
temporal_conflict,claim_only_rag,2.0,2.0,0.0,0.0,2.0,26.0,0.1462
temporal_conflict,graph_no_propagation,2.0,2.0,2.0,0.0,1.0,13.0,0.2555
temporal_conflict,graph_top_claim,2.0,2.0,2.0,0.0,2.0,26.0,0.2757
temporal_conflict,graph_coherent_subgraph,2.0,2.0,2.0,0.0,1.0,13.0,0.2285
temporal_conflict,graph_no_temporal,2.0,2.0,2.0,0.0,1.0,13.0,0.221
temporal_conflict,graph_no_contradiction,2.0,2.0,2.0,0.0,1.0,13.0,0.2397
temporal_conflict,graph_with_propagation,2.0,2.0,2.0,0.0,1.0,13.0,0.3258
temporal_conflict,full_egrag,2.0,2.0,2.0,0.0,1.0,13.0,0.2301
